X_Scale,Y_Scale,Weird_na,Weird_Depth_na,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-6.948149428,-131.0162772,-9999,-9999,,,,,,-69481.49428,-1310162.772
-6.938699123,-131.0162876,-9999,-9999,,,,,,-69386.99123,-1310162.876
-6.929248881,-131.0162956,-9999,-9999,,,,,,-69292.48881,-1310162.956
-6.919797052,-131.0162923,-9999,-9999,,,,,,-69197.97052,-1310162.923
-6.91034334,-131.0162819,-9999,-9999,,,,,,-69103.4334,-1310162.819
-6.900888057,-131.0162712,-9999,-9999,,,,,,-69008.88057,-1310162.712
-6.891431023,-131.0162645,-9999,-9999,,,,,,-68914.31023,-1310162.645
-6.88197227,-131.0162624,-9999,-9999,,,,,,-68819.7227,-1310162.624
-6.872511326,-131.0162656,-9999,-9999,,,,,,-68725.11326,-1310162.656
-6.863047889,-131.0162725,-9999,-9999,,,,,,-68630.47889,-1310162.725
-6.853581701,-131.0162833,-9999,-9999,,,,,,-68535.81701,-1310162.833
-6.844113233,-131.0162977,-9999,-9999,,,,,,-68441.13233,-1310162.977
-6.834642921,-131.0163166,-9999,-9999,,,,,,-68346.42921,-1310163.166
-6.825172081,-131.0163395,-9999,-9999,,,,,,-68251.72081,-1310163.395
-6.815700329,-131.0163666,-9999,-9999,,,,,,-68157.00329,-1310163.666
-6.80622811,-131.0163948,-9999,-9999,,,,,,-68062.2811,-1310163.948
-6.796755357,-131.0164172,-9999,-9999,,,,,,-67967.55357,-1310164.172
-6.787281703,-131.0164333,-9999,-9999,,,,,,-67872.81703,-1310164.333
-6.777807508,-131.0164426,-9999,-9999,,,,,,-67778.07508,-1310164.426
-6.768332694,-131.0164451,-9999,-9999,,,,,,-67683.32694,-1310164.451
-6.758857824,-131.016446,-9999,-9999,,,,,,-67588.57824,-1310164.46
-6.749382709,-131.0164481,-9999,-9999,,,,,,-67493.82709,-1310164.481
-6.739908108,-131.0164537,-9999,-9999,,,,,,-67399.08108,-1310164.537
-6.730434081,-131.0164586,-9999,-9999,,,,,,-67304.34081,-1310164.586
-6.720960517,-131.0164548,-9999,-9999,,,,,,-67209.60517,-1310164.548
-6.71148797,-131.0164425,-9999,-9999,,,,,,-67114.8797,-1310164.425
-6.702017274,-131.0164271,-9999,-9999,,,,,,-67020.17274,-1310164.271
-6.692549575,-131.0164134,-9999,-9999,,,,,,-66925.49575,-1310164.134
-6.683086133,-131.0164044,-9999,-9999,,,,,,-66830.86133,-1310164.044
-6.673627425,-131.0164005,-9999,-9999,,,,,,-66736.27425,-1310164.005
-6.664173934,-131.0164023,-9999,-9999,,,,,,-66641.73934,-1310164.023
-6.654726004,-131.0164076,-9999,-9999,,,,,,-66547.26004,-1310164.076
-6.645284133,-131.0164112,-9999,-9999,,,,,,-66452.84133,-1310164.112
-6.635847904,-131.0164095,-9999,-9999,,,,,,-66358.47904,-1310164.095
-6.626418167,-131.0164064,-9999,-9999,,,,,,-66264.18167,-1310164.064
-6.616995082,-131.0164035,-9999,-9999,,,,,,-66169.95082,-1310164.035
-6.607578195,-131.0164015,-9999,-9999,,,,,,-66075.78195,-1310164.015
-6.598167807,-131.0164025,-9999,-9999,,,,,,-65981.67807,-1310164.025
-6.5887636,-131.0164066,-9999,-9999,,,,,,-65887.636,-1310164.066
-6.579364337,-131.0164156,-9999,-9999,,,,,,-65793.64337,-1310164.156
-6.569968672,-131.0164254,-9999,-9999,,,,,,-65699.68672,-1310164.254
-6.560575611,-131.0164316,-9999,-9999,,,,,,-65605.75611,-1310164.316
-6.551184707,-131.016434,-9999,-9999,,,,,,-65511.84707,-1310164.34
-6.541795969,-131.0164383,-9999,-9999,,,,,,-65417.95969,-1310164.383
-6.532408505,-131.0164448,-9999,-9999,,,,,,-65324.08505,-1310164.448
-6.523021198,-131.0164516,-9999,-9999,,,,,,-65230.21198,-1310164.516
-6.513633512,-131.0164569,-9999,-9999,,,,,,-65136.33512,-1310164.569
-6.504245026,-131.0164613,-9999,-9999,,,,,,-65042.45026,-1310164.613
