X_Scale,Y_Scale,H_Ell_Scale,NS,CMI_na,Weird_Depth_na,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,H_Ell,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-8.777423275,-131.0249607,9.00588,9,-9999,-9999,,,,,,,,,896.208,,,,,,,,,,-87774.23275,-1310249.607
-8.768285739,-131.0249246,9.00315,9,-9999,-9999,,,,,,,,,896.661,,,,,,,,,,-87682.85739,-1310249.246
-8.759142561,-131.0248836,9.00017,9,-9999,-9999,,,,,,,,,897.331,,,,,,,,,,-87591.42561,-1310248.836
-8.749985802,-131.0248096,8.99768,9,-9999,-9999,,,,,,,,,897.705,,,,,,,,,,-87499.85802,-1310248.096
-8.740819481,-131.0247063,8.99559,9,-9999,-9999,,,,,,,,,898.056,,,,,,,,,,-87408.19481,-1310247.063
-8.73164865,-131.02459,8.99372,9,-9999,-9999,,,,,,,,,898.631,,,,,,,,,,-87316.4865,-1310245.9
-8.722470916,-131.0244555,8.99233,9,-9999,-9999,,,,,,,,,899.227,,,,,,,,,,-87224.70916,-1310244.555
-8.713280428,-131.0243076,8.99148,9,-9999,-9999,,,,,,,,,899.61,,,,,,,,,,-87132.80428,-1310243.076
-8.70408331,-131.0241637,8.9908,9,-9999,-9999,,,,,,,,,900.031,,,,,,,,,,-87040.8331,-1310241.637
-8.694893349,-131.0240413,8.99012,9,-9999,-9999,,,,,,,,,900.829,,,,,,,,,,-86948.93349,-1310240.413
-8.685715093,-131.0239415,8.98988,9,-9999,-9999,,,,,,,,,901.862,,,,,,,,,,-86857.15093,-1310239.415
-8.676541678,-131.0238643,8.98979,9,-9999,-9999,,,,,,,,,902.317,,,,,,,,,,-86765.41678,-1310238.643
-8.667377971,-131.0238155,8.98954,9,-9999,-9999,,,,,,,,,903.097,,,,,,,,,,-86673.77971,-1310238.155
-8.65822817,-131.0237961,8.989,9,-9999,-9999,,,,,,,,,903.999,,,,,,,,,,-86582.2817,-1310237.961
-8.649077965,-131.0237941,8.98836,9,-9999,-9999,,,,,,,,,904.259,,,,,,,,,,-86490.77965,-1310237.941
-8.639930071,-131.0237847,8.98782,9,-9999,-9999,,,,,,,,,904.353,,,,,,,,,,-86399.30071,-1310237.847
-8.630793817,-131.0237808,8.98786,9,-9999,-9999,,,,,,,,,904.719,,,,,,,,,,-86307.93817,-1310237.808
-8.621664509,-131.0238063,8.98802,9,-9999,-9999,,,,,,,,,905.137,,,,,,,,,,-86216.64509,-1310238.063
-8.612530043,-131.0238345,8.989,9,-9999,-9999,,,,,,,,,905.045,,,,,,,,,,-86125.30043,-1310238.345
-8.603392149,-131.0238457,8.99102,9,-9999,-9999,,,,,,,,,904.708,,,,,,,,,,-86033.92149,-1310238.457
-8.594254989,-131.0238268,8.99412,9,-9999,-9999,,,,,,,,,904.467,,,,,,,,,,-85942.54989,-1310238.268
-8.585115886,-131.0237812,8.99816,9,-9999,-9999,,,,,,,,,904.18,,,,,,,,,,-85851.15886,-1310237.812
