LineNum,LineFull,unixTime,UTCDate,UTCsod,UTCTime,Latitude,Longitude,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev,DICE_Thickness,DICE_IceBase,DICE_FileNum
L840,L840:2004,1480300679,2016/11/28,9479,02:37:59,-78.2573797386,-179.755596407,-5460.7310788366,-1280156.90094591,-17.856829990958,286.04090196816,-303.897731959118,7
L840,L840:2004,1480300680,2016/11/28,9480,02:38:00,-78.2573827418,-179.759556265,-5372.25476197959,-1280156.94567943,-17.792601819118,285.11837897145,-302.910980790568,7
L840,L840:2004,1480300681,2016/11/28,9481,02:38:01,-78.2573857481,-179.763516439,-5283.77140324393,-1280156.98398694,-17.749886824824,285.57891211509,-303.328798939914,7
L840,L840:2004,1480300682,2016/11/28,9482,02:38:02,-78.2573886721,-179.767476699,-5195.28618004131,-1280157.02521915,-18.710770874754,281.17619155771,-299.886962432464,7
L840,L840:2004,1480300683,2016/11/28,9483,02:38:03,-78.2573915987,-179.771436991,-5106.80026027044,-1280157.06005269,-18.670175034157,272.38031289277,-291.050487926927,7
L840,L840:2004,1480300684,2016/11/28,9484,02:38:04,-78.2573946295,-179.775397439,-5018.31083017185,-1280157.07734724,-18.638845533633,262.71136223889,-281.350207772523,7
L840,L840:2004,1480300685,2016/11/28,9485,02:38:05,-78.25739772,-179.779358224,-4929.81386727309,-1280157.08200172,-18.633834524771,260.45475275584,-279.088587280611,7
L840,L840:2004,1480300686,2016/11/28,9486,02:38:06,-78.2574006306,-179.78331936,-4841.30916000567,-1280157.10031291,-18.620531537161,260.44777184086,-279.068303378021,7
L840,L840:2004,1480300687,2016/11/28,9487,02:38:07,-78.2574035816,-179.787280836,-4752.79686070217,-1280157.10809939,-18.562914039863,260.44788249792,-279.010796537783,7
L840,L840:2004,1480300688,2016/11/28,9488,02:38:08,-78.2574069805,-179.791242784,-4664.27385847847,-1280157.06064533,-18.473862380842,260.74930565725,-279.223168038092,7
L840,L840:2004,1480300689,2016/11/28,9489,02:38:09,-78.2574107465,-179.795205157,-4575.74124577319,-1280156.96681292,-18.393854882464,261.89385983712,-280.287714719584,7
L840,L840:2004,1480300690,2016/11/28,9490,02:38:10,-78.2574144725,-179.799167793,-4487.20280754525,-1280156.8712686,-18.303033049455,263.15507104976,-281.458104099215,7
L840,L840:2004,1480300691,2016/11/28,9491,02:38:11,-78.2574178324,-179.803130283,-4398.66780455564,-1280156.80977074,-18.191271224912,264.27447375727,-282.465744982182,7
L840,L840:2004,1480300692,2016/11/28,9492,02:38:12,-78.2574206824,-179.807092946,-4310.12915462695,-1280156.79812677,-18.066653712165,264.9234071842,-282.990060896365,7
L840,L840:2004,1480300693,2016/11/28,9493,02:38:13,-78.2574231562,-179.811055692,-4221.5888090456,-1280156.82165509,-17.926858545156,264.77825577591,-282.705114321066,7
L840,L840:2004,1480300694,2016/11/28,9494,02:38:14,-78.2574254905,-179.815018655,-4133.04368183919,-1280156.85438608,-17.799726542342,264.55564024914,-282.355366791482,7
L840,L840:2004,1480300695,2016/11/28,9495,02:38:15,-78.2574278222,-179.818981761,-4044.49537615938,-1280156.88128808,-18.725133761968,263.15947880442,-281.884612566388,7
L840,L840:2004,1480300696,2016/11/28,9496,02:38:16,-78.2574302678,-179.822944969,-3955.94476892046,-1280156.88957119,-18.657009748775,262.03498838544,-280.691998134215,7
L840,L840:2004,1480300697,2016/11/28,9497,02:38:17,-78.2574329287,-179.826908463,-3867.38771841554,-1280156.86811821,-18.57279224705,260.8976255577,-279.47041780475,7
L840,L840:2004,1480300698,2016/11/28,9498,02:38:18,-78.2574358915,-179.830872373,-3778.82129733111,-1280156.8074316,-18.492089747686,259.32736730827,-277.819457055956,7
L840,L840:2004,1480300699,2016/11/28,9499,02:38:19,-78.2574390548,-179.834837022,-3690.23832827973,-1280156.71865936,-18.424589590294,257.20011295368,-275.624702543974,7
L840,L840:2004,1480300700,2016/11/28,9500,02:38:20,-78.2574422984,-179.838802539,-3601.63597113234,-1280156.6149987,-18.370421580622,257.02604782146,-275.396469402082,7
L840,L840:2004,1480300701,2016/11/28,9501,02:38:21,-78.2574453142,-179.842768876,-3513.01539340643,-1280156.53025813,-18.321649082108,259.51380614558,-277.835455227688,7
L840,L840:2004,1480300702,2016/11/28,9502,02:38:22,-78.2574482037,-179.84673584,-3424.38087272696,-1280156.4532822,-19.23883697807,261.9102688059,-281.14910578397,7
L840,L840:2004,1480300703,2016/11/28,9503,02:38:23,-78.2574510779,-179.850703308,-3335.73512307943,-1280156.37187805,-19.113587812501,265.05235208684,-284.165939899341,7
