Line,UTCDate,UTCsod,UTCTime,unixTime,Latitude,Longitude,H_Ell,Pitch,Roll,Heading,X_EPSG_3031,Y_EPSG_3031,X,Y,Dist_meters,Dist_km,unix_sec,StartEnd
L360,2015/11/17,44440,12:20:40,1447762840,-82.3486181347,163.946919279,842.687,3.484615,-2.583139,-76.5258,230217.411977327,-800065.349091886,23.0217411977327,-80.0065349091886,701338.968617523,701.338968617523,1447762840,1
L370,2015/11/20,81064.115,22:31:04,1448058664.115,-81.3666022393,-149.430248013,1138.723,5.642517,4.5717,-119.918916,-477942.978542522,-809132.053921597,-47.7942978542522,-80.9132053921597,0,0,1448058664,1
L370,2015/11/21,1152,00:19:12,1448065152,-82.3910970085,168.1404619493,858.758,6.739097,11.991909,-84.00209,170143.059825798,-810221.995920216,17.0143059825798,-81.0221995920216,648086.954892246,648.086954892246,1448065152,1
L380,2015/11/17,28027.02,07:47:07,1447746427.02,-82.1509368994,163.9651664611,745.204,6.113295,-7.908358,112.392248,235921.568055663,-820872.432419506,23.5921568055663,-82.0872432419506,0,0,1447746427,1
L380,2015/11/17,36870,10:14:30,1447755270,-81.2600984763,-149.547658333,1046.775,3.586463,-0.64969,60.274452,-482181.259665174,-820140.544132502,-48.2181259665174,-82.0140544132502,718103.200689934,718.103200689933,1447755270,1
L390,2017/11/29,81331.715,22:35:32,1511994931.715,-82.0646215946,163.8801952093,760.497,5.059956108,-9.8504550172,101.4646378174,239754.449761617,-829572.437858264,23.9754449761617,-82.9572437858264,0,0,1511994931,1
L390,2017/11/30,3287,00:54:47,1512003287,-81.1307980431,-149.190577023,1004.449,3.5781271602,14.6912108249,106.258552527,-494519.685377579,-829254.379231423,-49.4519685377579,-82.9254379231423,734274.204024425,734.274204024425,1512003287,1
L400,2015/11/20,72453.31,20:07:33,1448050053.31,-82.0113367319,165.2675261183,773.779,4.786341,-8.339842,111.566158,221078.443567253,-840759.20692903,22.1078443567253,-84.075920692903,0,0,1448050053,1
L400,2015/11/20,80646,22:24:06,1448058246,-81.0363470864,-149.350853694,811.93,4.670425,23.187945,111.895103,-497460.080729609,-839514.721649766,-49.7460080729609,-83.9514721649766,718539.602000003,718.539602000003,1448058246,1
L410,2015/11/30,85060.35,23:37:40,1448926660.35,-80.9056262768,-149.235441343,942.45,4.475492,14.30771,-153.678169,-506458.661061793,-850788.414367672,-50.6458661061793,-85.0788414367672,0,0,1448926660,1
L410,2015/12/01,6417,01:46:57,1448934417,-81.8258288715,162.926796524,899.393,3.855862,-2.179506,-72.326567,261178.302216961,-850388.285670728,26.1178302216961,-85.0388285670728,767637.067561749,767.63706756175,1448934417,1
L420,2017/11/07,25616.45,07:06:56,1510038416.45,-81.699718121,162.7405010887,738.065,5.1531988484,-1.9814436943,162.8442885513,268027.611971939,-862684.934090903,26.8027611971939,-86.2684934090904,0,0,1510038416,1
L420,2017/11/07,34210,09:30:10,1510047010,-80.818120018,-149.488371266,2181.41,4.3227087333,-7.4168928213,37.294773995,-507554.774567596,-861257.256272151,-50.7554774567596,-86.1257256272151,775583.700559982,775.583700559982,1510047010,1
L430,2015/11/30,75867.375,21:04:27,1448917467.375,-81.5497832946,161.496513439,728.438,5.242783,-2.524431,144.74771,291889.991276284,-872190.842571548,29.1889991276284,-87.2190842571548,0,0,1448917467,1
L430,2015/11/30,84778,23:32:58,1448926378,-80.707539422,-149.344515293,935.394,4.283069,7.446064,66.242685,-515880.022982555,-870380.69315205,-51.5880022982555,-87.038069315205,807772.042457924,807.772042457924,1448926378,1
L440,2017/11/07,34419.89,09:33:40,1510047219.89,-80.6762103621,-149.837642911,2184.643,4.3894391024,-3.6399491162,-75.7923710096,-510091.117222001,-877750.243594972,-51.0091117222001,-87.7750243594972,0,0,1510047219,1
L440,2017/11/07,42488,11:48:08,1510055288,-81.5086212398,162.3825609946,767.8,4.6877172262,18.6070507687,-15.8335458404,279728.406183029,-880885.324187143,27.9728406183029,-88.0885324187143,789825.745517369,789.825745517369,1510055288,1
L450,2016/11/24,454.955,00:07:35,1479946054.955,-80.2902678791,-147.359963948,896.139,3.86824,-3.311058,-132.897069,-570327.258442568,-890424.459305603,-57.0327258442568,-89.0424459305603,0,0,1479946054,1
L450,2016/11/24,9440,02:37:20,1479955040,-81.3594077348,161.1965629933,1032.452,7.967744,18.624449,-52.143965,303154.880167112,-890336.537320121,30.3154880167112,-89.0336537320121,873482.143034656,873.482143034656,1479955040,1
L460,2017/11/27,35364.585,09:49:25,1511776164.585,-80.2230581449,-147.625543985,1944.863,4.0092573874,-0.2002360122,-102.910880457,-570131.199242531,-899268.942609129,-57.0131199242531,-89.9268942609129,0,0,1511776164,1
L460,2017/11/27,43558,12:05:58,1511784358,-81.24970716,160.8931313564,837.744,6.2802706065,7.8543460979,-69.651511644,311788.904684948,-900043.667895626,31.1788904684948,-90.0043667895626,881920.444207257,881.920444207257,1511784358,1
L470,2016/11/23,76971.015,21:22:51,1479936171.015,-81.1654468655,161.2209904149,758.604,5.783407,-7.39388,109.964318,309597.493293172,-910529.951247104,30.9597493293172,-91.0529951247104,0,0,1479936171,1
L470,2016/11/24,218,00:03:38,1479945818,-80.109319928,-147.679084176,895.058,4.451367,15.674551,68.572733,-575944.86284736,-910318.769514586,-57.594486284736,-91.0318769514586,885542.381321555,885.542381321555,1479945818,1
L480,2017/11/27,24910.48,06:55:10,1511765710.48,-81.0761622443,161.2651161201,739.353,5.0248603548,-3.2428913416,92.2746772748,312030.051764984,-920008.249159499,31.2030051764984,-92.0008249159499,0,0,1511765710,1
L480,2017/11/27,35067,09:44:27,1511775867,-80.0035892263,-147.678725396,1936.305,3.6225027414,8.1977598116,61.2508556067,-582137.36676181,-920093.677841756,-58.213736676181,-92.0093677841756,894167.422607719,894.167422607719,1511775867,1
L490,2015/11/24,73178.045,20:19:38,1448396378.045,-80.9659229717,160.9376269442,766.768,2.822744,-8.85139,108.218297,321218.528058932,-929597.672312333,32.1218528058932,-92.9597672312333,0,0,1448396378,1
